Record Length,Analog:14000
Sample Interval,CH:0.0001999999949
Vertical Units,CH1:V CH2:V,,,
Vertical Scale,CH1:+2.000000E-01 CH2:+1.000000E-02,,,
Vertical Offset,CH1:+0.000000E+00 CH2:-1.420000E-02,,,
Horizontal Units,us,,,
Horizontal Scale,200000.0000000000,,,
Model Number,SDS2352X-E,,,
Serial Number,SDS2ECCX5R0313,,,
Software Version,2.1.1.1.20 R3,,,
Source,CH1,CH2
Second,Volt,Volt
-1.331000E+00,+8.000000E-03,+4.980000E-02
-1.330800E+00,+8.000000E-03,+4.980000E-02
-1.330600E+00,+8.000000E-03,+4.980000E-02
-1.330400E+00,+8.000000E-03,+4.980000E-02
-1.330200E+00,+1.600000E-02,+4.980000E-02
-1.330000E+00,+1.600000E-02,+4.980000E-02
-1.329800E+00,+1.600000E-02,+4.980000E-02
-1.329600E+00,+1.600000E-02,+4.980000E-02
-1.329400E+00,+1.600000E-02,+4.980000E-02
-1.329200E+00,+1.600000E-02,+4.980000E-02
-1.329000E+00,+1.600000E-02,+4.980000E-02
-1.328800E+00,+1.600000E-02,+4.980000E-02
-1.328600E+00,+1.600000E-02,+4.980000E-02
-1.328400E+00,+1.600000E-02,+4.980000E-02
-1.328200E+00,+1.600000E-02,+4.980000E-02
-1.328000E+00,+1.600000E-02,+4.940000E-02
-1.327800E+00,+2.400000E-02,+4.980000E-02
-1.327600E+00,+2.400000E-02,+4.980000E-02
-1.327400E+00,+2.400000E-02,+5.020000E-02
-1.327200E+00,+2.400000E-02,+4.980000E-02
-1.327000E+00,+3.200000E-02,+4.940000E-02
-1.326800E+00,+3.200000E-02,+4.940000E-02
-1.326600E+00,+3.200000E-02,+4.980000E-02
-1.326400E+00,+3.200000E-02,+4.980000E-02
-1.326200E+00,+4.000000E-02,+4.980000E-02
-1.326000E+00,+3.200000E-02,+4.980000E-02
-1.325800E+00,+3.200000E-02,+4.980000E-02
-1.325600E+00,+3.200000E-02,+4.940000E-02
-1.325400E+00,+4.000000E-02,+4.940000E-02
-1.325200E+00,+4.800000E-02,+4.940000E-02
-1.325000E+00,+4.000000E-02,+4.940000E-02
